Time,Event
2025-05-17 22:27:27,Client_2 Loading Dataset
2025-05-17 22:27:27,Client_2 CNN Model Loading
2025-05-17 22:27:28,Client_2 CNN Model Loaded
2025-05-17 22:27:28,Client_2 Federated Learning Process Started
2025-05-17 22:27:32,Round: 1_Client_2 Train Started.
2025-05-17 22:27:40,Round_1_Client_2 Train Ended
2025-05-17 22:27:44,Round_1_Client_2 Test Start
2025-05-17 22:27:45,Client_2 Test Ended
2025-05-17 22:27:47,Round: 2_Client_2 Train Started.
2025-05-17 22:27:52,Round_2_Client_2 Train Ended
2025-05-17 22:27:55,Round_2_Client_2 Test Start
2025-05-17 22:27:56,Client_2 Test Ended
2025-05-17 22:27:56,Client_2 Federated Learning Process Ended
